맨토스,식품과자사탕,1630,32320,19.828220858895705
무루,출산/육아기저귀기능성기저귀땅콩기저귀,1670,3906,2.3389221556886226
변신자동차,출산/육아완구/매트작동완구로봇,1050,67191,63.99142857142857
사진프린터기,디지털/가전주변기기프린터포토프린터,1320,89615,67.89015151515152
알라스카,패션의류남성의류점퍼,1310,59887,45.71526717557252
정리트레이,생활/건강수납/정리용품정리함소품정리함,1010,412389,408.3059405940594
AHD,생활/건강생활용품보안용품CCTV,1090,114809,105.32935779816513
PGM,스포츠/레저골프골프백캐디백,1820,286741,157.55
랜턴스탠드,스포츠/레저캠핑랜턴실내등,5130,91646,17.864717348927876
배접봉투,생활/건강주방용품주방잡화쓰레기봉투,1220,63662,52.18196721311475
쓰레기봉투,생활/건강주방용품주방잡화쓰레기봉투,13650,959801,70.31509157509157
컵거치대,생활/건강주방용품주방수납용품주방정리소품,1930,138961,72.00051813471502
협탁,가구/인테리어침실가구협탁,75150,694315,9.239055222887558
원형방석,가구/인테리어홈데코쿠션/방석일반방석,7310,165125,22.58891928864569
아일랜드식탁제작,가구/인테리어주방가구식탁/의자아일랜드식탁,2580,8592,3.3302325581395347
북케이스,가구/인테리어서재/사무용가구책장,1610,18907,11.743478260869566
제작가구,가구/인테리어주방가구식탁/의자식탁테이블,1140,440982,386.8263157894737
벤치의자방석,가구/인테리어홈데코쿠션/방석일반방석,4400,13621,3.095681818181818
카페테이블,가구/인테리어주방가구식탁/의자식탁테이블,23770,441985,18.594236432477913
전산볼트,생활/건강공구체결용품볼트/너트,6490,18812,2.898613251155624
트롤리,가구/인테리어주방가구왜건/카트,55110,494819,8.978751587733624
벤치방석,가구/인테리어홈데코쿠션/방석일반방석,3920,20577,5.249234693877551
하부장,가구/인테리어주방가구주방수납장,3780,56483,14.942592592592593
스툴의자,가구/인테리어서재/사무용가구의자스툴,21560,856899,39.744851576994435
아크릴선반,가구/인테리어수납가구선반,3970,79403,20.000755667506297
책장제작,가구/인테리어서재/사무용가구책장,1110,15078,13.583783783783783
스튤,가구/인테리어서재/사무용가구의자스툴,2390,1068692,447.15146443514647
가구,가구/인테리어거실가구TV거실장,63000,36396487,577.7220158730158
벽장,가구/인테리어수납가구선반,2780,41234,14.832374100719424
수납장,가구/인테리어수납가구수납장,144300,3887043,26.93723492723493
원목선반장,가구/인테리어수납가구선반,2270,24606,10.839647577092512
벽선반,가구/인테리어수납가구선반,61540,934142,15.179428014299642
청소카트,생활/건강공구운반용품핸드카트/운반기,1340,27847,20.78134328358209
콘솔,가구/인테리어침실가구화장대콘솔,66030,1134158,17.176404664546418
보조의자,가구/인테리어서재/사무용가구의자스툴,5880,273790,46.56292517006803
라텍스글러브,생활/건강주방용품주방잡화고무장갑,2330,19419,8.334334763948497
업소용테이블,가구/인테리어주방가구식탁/의자식탁테이블,5380,220332,40.95390334572491
STOOL,가구/인테리어서재/사무용가구의자스툴,6730,1068692,158.79524517087668
세트앙카,생활/건강공구체결용품볼트/너트,2440,60130,24.64344262295082
선반척,생활/건강공구전동공구전동공구액세서리,1120,57333,51.19017857142857
화장대의자,가구/인테리어침실가구화장대화장대의자,37790,265177,7.01712093146335
레고보관함,생활/건강수집품모형/프라모델/피규어보관용품,2850,9218,3.234385964912281
